,Unnamed: 0,Unnamed: 0.1,LOCATION,BOB_2017_RATE,BOB_2021_RATE,%DIFFERENCE,DERIVE FROM
0,0,0,All the areas within the Main Town (Tshongdu),840,820.0,-2%,FIAB
1,1,1,Geptey,315,337.86,7%,FIAB
2,2,2,Olathang,315,257.6,-18%,FIAB
3,3,3,Nyemezampa,300,201.0,-33%,FIAB
4,4,4,Taju ,315,302.14,-4%,FIAB
5,5,5,Nemjo,300,271.43,-10%,FIAB
6,6,6,Jangsa,158,201.0,27%,FIAB
7,7,7,Dop shari,116,150.41,30%,PAVA
8,8,8,Gaupay ,137,153.4,12%,FIAB
9,9,9,Horeykha,105,123.2,17%,FIAB
10,10,10,NIE Areas,158,257.6,63%,FIAB
11,11,11,Khangkhu,158,300.0,90%,FIAB
12,12,12,Lamgong,105,201.0,91%,FIAB
13,13,13,Jagarthang,105,115.88,10%,PAVA
14,14,14,Kichu ,83,206.0,148%,FIAB
15,15,15,Satsham Chorten areas,116,150.41,30%,PAVA
16,16,16,Vicinity of Drugyel High School ,79,110.0,39%,FIAB
17,17,17,Vicinity of  Dotey (Kuenga higher secondary school areas),74,130.0,76%,FIAB
18,18,18,Proper Bondey Town Area,525,425.0,-19%,FIAB
19,19,19,Bonday-Near AMC area ,158,130.0,-18%,FIAB
20,20,20,Woochu,158,188.33,19%,FIAB
21,21,21,Shaba Town ,210,188.33,-10%,FIAB
22,22,22,Along the feeder road starting from Bonday to Shab Drukjey Dingkha area.,74,111.5,51%,FIAB
