LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
Wangdue Phodrang (Bajothang),150,75,357.14,183.33,138.09%,FIAB,Commercial 
Vicinity of Dzong area,137,75,272.2,,98.25%,PAVA,Commercial 
Basochu,58,25,177.5,,207.36%,FIAB,Commercial 
Chuzomsa Area,46,15,70.25,,52.06%,FIAB,Commercial 
Hesuthangkha area,58,20,99.6,,72.47%,FIAB,Commercial 
Kamichu area,58,20,177.5,,207.36%,FIAB,Commercial 
Phubjikha area,35,15,32,,-7.65%,FIAB,Commercial 
Samthang (VTI) area,105,50,260.97,,148.54%,PAVA,Commercial 
Bajo to Khuruthang (Along the road),105,50,151.66,,44.44%,FIAB,Commercial 
Wangdue to Nobding (Along highway),35,15,39.45,,13.86%,PAVA,Commercial 
Wangdue to Tsirang (Along Highway),35,15,60,,73.16%,FIAB,Commercial 
Wangdue bridge to Mesina/Lobesa (Along Highway),105,50,115.88,,10.36%,PAVA,Commercial 
Punakha (Khuruthang),525,210,379.16,245.83,-27.78%,FIAB,Commercial 
Vicinity of Dzong Area,79,83,169.85,,115.68%,PAVA,Commercial 
Gomkamo ,105,83,180.83,,72.22%,FIAB,Commercial 
Wolakha,74,,182.25,,147.96%,FIAB,Commercial 
Logodama,46,,55,,19.05%,FIAB,Commercial 
Thinleygang (Along the highway),69,,97,,39.97%,FIAB,Commercial 
Zomlithang (Along the Highway) ,79,25,45.17,,-42.64%,PAVA,Commercial 
Phuntshopelri vicinity (Phaduna),58,15,63.73,,10.36%,PAVA,Commercial 
Kabesa (Serigang),58,15,71,,22.94%,FIAB,Commercial 
Mendhagang (Opposite to suspension bridge),50,15,55.18,,10.36%,PAVA,Commercial 
Shengana,32,,28,,-11.11%,FIAB,Commercial 
Samdingkha,20,,22.07,,10.36%,PAVA,Commercial 
Trongsa- Town Area,462,116,298.85,,-35.31%,FIAB,Commercial 
Sherubling Area,150,80,126.66,,-15.56%,FIAB,Commercial 
BOD and PWD areas,98,44,40,,-59.01%,FIAB,Commercial 
Yangkhil and Willing areas  ,98,44,40,,-59.01%,FIAB,Commercial 
Taktse and Tsankha arears,98,44,40,,-59.01%,FIAB,Commercial 
Kewathang (CDCL Workshop Area),98,44,40,,-59.01%,FIAB,Commercial 
Langthel,98,44,30,,-69.26%,FIAB,Commercial 
Haa Town Area ,105,53,120.71,,14.96%,FIAB,Commercial 
"Katsho, ",52,24,40.5,,-22.22%,FIAB,Commercial 
Bali,65,35,120.71,,85.71%,FIAB,Commercial 
Lhakhang Karpo Area,52,24,55.71,,7.00%,PAVA,Commercial 
Bjee,52,24,36.4,,-30.09%,FIAB ,Commercial 
Dagana Dzong Area ,74,58,360.72,,390.77%,PAVA,Commercial 
Dagapela Town Area,74,58,89.14,,21.28%,FIAB,Commercial 
Lhamoizingkha,53,26,45.5,,-13.33%,FIAB,Commercial 
Drugjaygang,21,,24,,14.29%,FIAB,Commercial 
Nindukha (On the way to Dagana to Sunkosh Highway (Aprox. 13 KM from town),21,,23.18,,10.36%,PAVA (New),Commercial 
LHALING (On the way to Dagana to Sunkosh Highway (Aprox. 20 KM from town),21,,23.18,,10.36%,PAVA (New),Commercial 
Kalizingkha (Area is attached to daga town/ municipal boundary),74,,363.17,,390.77%,PAVA (New),Commercial 
Tsangleykha (area is located near Daga Hospital),74,,363.17,,390.77%,PAVA,Commercial 
Dzongsel (Below Daga Dzong/ NHDCL),74,,363.17,,390.77%,PAVA,Commercial 
Samtse Town Area,525,300,352.08,,-32.94%,FIAB,Commercial 
AWP area,210,160,195.77,,-6.78%,FIAB,Commercial 
Dzong Area( along road starting from town chorten till Dzong and Court Area),266,200,195.77,,-26.31%,FIAB,Commercial 
Dzongkhag Court Area,185,150,188.63,,2.07%,FIAB,Commercial 
Daragaon area,168,100,172.88,,2.90%,FIAB,Commercial 
Dairy farm area,116,100,138.67,,20.06%,FIAB,Commercial 
Devithan area,210,100,155.73,,-25.84%,FIAB,Commercial 
Gairigaon areas ( starting from Border gate till AWP area),162,100,172.88,,6.91%,FIAB,Commercial 
Gurung Basti,200,80,147.48,,-26.26%,FIAB,Commercial 
Hospital Area,158,80,148.48,,-5.73%,FIAB,Commercial 
Chengmari ( covering Vicinityof  Factory area (Ice beverage)),92,80,79,,-14.50%,FIAB,Commercial 
Mechetar and Damdum area,116,80,98.67,,-14.57%,FIAB,Commercial 
Sipsoo ,150,80,104,,-30.67%,FIAB,Commercial 
Gola Bazar,150,80,104,,-30.67%,FIAB,Commercial 
Tendu,81,80,104,,28.63%,FIAB,Commercial 
Gomtu,162,100,131.48,,-18.69%,FIAB,Commercial 
Pagli,116,60,105.25,,-8.87%,FIAB,Commercial 
Bookey A & B,100,60,,,-100.00%,Rate not available in both FIAB and PAVA,Commercial 
Sukreti Area,150,80,35,,-76.67%,FIAB,Commercial 
Tamang Dhara & Baun Dhara,80,40,88.29,,10.36%,PAVA,Commercial 
Ugyen Tse & Yoesel Tse ( Core Area Only),80,40,88.29,,10.36%,PAVA,Commercial 
Dorokha Dungkhag ( Town Area),185,100,76.25,,-58.78%,FIAB,Commercial 
Gelephu-Main Town Area,"1,050",500,730,,-30.48%,FIAB,Commercial 
AWP area (LAP-II) (Tashiling) airport till highway,150,150,200,,33.20%,FIAB,Commercial 
Bhutan Telecom area,525,350,730,,39.05%,FIAB,Commercial 
