,LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
12,Punakha (Khuruthang),525,210.0,379.16,245.83,-27.78%,FIAB,Commercial 
13,Vicinity of Dzong Area,79,83.0,169.85,,115.68%,PAVA,Commercial 
14,Gomkamo ,105,83.0,180.83,,72.22%,FIAB,Commercial 
15,Wolakha,74,,182.25,,147.96%,FIAB,Commercial 
16,Logodama,46,,55.0,,19.05%,FIAB,Commercial 
17,Thinleygang (Along the highway),69,,97.0,,39.97%,FIAB,Commercial 
18,Zomlithang (Along the Highway) ,79,25.0,45.17,,-42.64%,PAVA,Commercial 
19,Phuntshopelri vicinity (Phaduna),58,15.0,63.73,,10.36%,PAVA,Commercial 
20,Kabesa (Serigang),58,15.0,71.0,,22.94%,FIAB,Commercial 
21,Mendhagang (Opposite to suspension bridge),50,15.0,55.18,,10.36%,PAVA,Commercial 
22,Shengana,32,,28.0,,-11.11%,FIAB,Commercial 
23,Samdingkha,20,,22.07,,10.36%,PAVA,Commercial 
