,LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
45,Samtse Town Area,525,300.0,352.08,,-32.94%,FIAB,Commercial 
46,AWP area,210,160.0,195.77,,-6.78%,FIAB,Commercial 
47,Dzong Area( along road starting from town chorten till Dzong and Court Area),266,200.0,195.77,,-26.31%,FIAB,Commercial 
48,Dzongkhag Court Area,185,150.0,188.63,,2.07%,FIAB,Commercial 
49,Daragaon area,168,100.0,172.88,,2.90%,FIAB,Commercial 
50,Dairy farm area,116,100.0,138.67,,20.06%,FIAB,Commercial 
51,Devithan area,210,100.0,155.73,,-25.84%,FIAB,Commercial 
52,Gairigaon areas ( starting from Border gate till AWP area),162,100.0,172.88,,6.91%,FIAB,Commercial 
53,Gurung Basti,200,80.0,147.48,,-26.26%,FIAB,Commercial 
54,Hospital Area,158,80.0,148.48,,-5.73%,FIAB,Commercial 
55,Chengmari ( covering Vicinityof  Factory area (Ice beverage)),92,80.0,79.0,,-14.50%,FIAB,Commercial 
56,Mechetar and Damdum area,116,80.0,98.67,,-14.57%,FIAB,Commercial 
57,Sipsoo ,150,80.0,104.0,,-30.67%,FIAB,Commercial 
58,Gola Bazar,150,80.0,104.0,,-30.67%,FIAB,Commercial 
59,Tendu,81,80.0,104.0,,28.63%,FIAB,Commercial 
60,Gomtu,162,100.0,131.48,,-18.69%,FIAB,Commercial 
61,Pagli,116,60.0,105.25,,-8.87%,FIAB,Commercial 
62,Bookey A & B,100,60.0,,,-100.00%,Rate not available in both FIAB and PAVA,Commercial 
63,Sukreti Area,150,80.0,35.0,,-76.67%,FIAB,Commercial 
64,Tamang Dhara & Baun Dhara,80,40.0,88.29,,10.36%,PAVA,Commercial 
65,Ugyen Tse & Yoesel Tse ( Core Area Only),80,40.0,88.29,,10.36%,PAVA,Commercial 
66,Dorokha Dungkhag ( Town Area),185,100.0,76.25,,-58.78%,FIAB,Commercial 
