,LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
67,Gelephu-Main Town Area,"1,050",500.0,730.0,,-30.48%,FIAB,Commercial 
68,AWP area (LAP-II) (Tashiling) airport till highway,150,150.0,200.0,,33.20%,FIAB,Commercial 
69,Bhutan Telecom area,525,350.0,730.0,,39.05%,FIAB,Commercial 
70,BOD area (LAP-II),210,180.0,356.0,,69.52%,FIAB,Commercial 
71,BPC Colony (LAP-I) ,347,250.0,346.17,,-0.10%,FIAB,Commercial 
72,Bus station area (LAP-I)  BoB location,525,250.0,730.0,,39.05%,FIAB,Commercial 
73,Dungkhag Office (LAP-I) ,473,250.0,375.5,,-20.53%,FIAB,Commercial 
74,Fishery Area (LAP-I) ,231,250.0,461.65,,99.85%,PAVA,Commercial 
75,Gelephu Pri School (LAP-I) ,347,250.0,337.83,,-2.50%,FIAB,Commercial 
76,Gelephu High School ( LAP-II) ,210,100.0,300.0,,42.86%,FIAB,Commercial 
77,Hongkong Market area (LAP-I) ,347,250.0,346.17,,-0.10%,FIAB,Commercial 
78,Hospital area (LAP-I) ,347,250.0,346.17,,-0.10%,FIAB,Commercial 
79,Kuendrup High School area (LAP-I),231,170.0,231.67,,0.29%,FIAB,Commercial 
80,Malaria Office area (LAP-I) ,231,170.0,231.67,,0.29%,FIAB,Commercial 
81,Match Factory area (LAP-II) ,250,,499.63,,99.85%,PAVA,Commercial 
82,Nimalung Dratshang area (LAP-II) ,158,100.0,314.76,,99.85%,PAVA,Commercial 
83,Pelrithang (Extended municipal area),81,55.0,133.5,,65.12%,FIAB,Commercial 
84,Pemathang area (LAP-I),150,80.0,150.0,,-0.10%,FIAB,Commercial 
85,RBA camp area (LAP-I) ,347,180.0,356.0,,2.74%,FIAB,Commercial 
86,Zomlingthang     ,80,35.0,101.67,,27.09%,FIAB,Commercial 
87,Sarpang(present town area), No town (flood) ,,,,,,Commercial 
88,Jigme Choling ,,,52.5,,Previous rates not available,FIAB,Commercial 
89,Ranibagan(Omchugang),105,,119.29,,13.61%,FIAB,Commercial 
90,Gakiling (Npdc&Gup Office Area),77,69.0,84.98,,10.36%,PAVA,Commercial 
91,Bazar Area (Buta Bari &Bod Area), -   ,23.0,,25.38,10.36%,PAVA,Residential
92,Sarpangtar(Municipilaty Area) ,105,92.0,199.29,,89.80%,FIAB,Commercial 
93,Panthreygaou(Shompangkha), -   ,58.0,,64.01,10.36%,PAVA,Residential
94,Dhargaythang(Highway With 50meter, -   ,35.0,,38.63,10.36%,PAVA,Residential
95,Kencholing Ecr &Below Area(Shompangkha),,17.0,,18.76,10.36%,PAVA,Residential
96,Dekiling(School Area),77,77.0,68.67,84.98,-10.82%,FIAB,Commercial
97,Dekiling (Gup Office Area),77,58.0,68.67,,-10.82%,FIAB,Commercial
98,"Chhokhorling(A) Bhu,&School Area", -   ,87.0,,96.01,10.36%,PAVA,Residential
99,Chhokhorling(B) Manidungkhor& Above Area, -   ,69.0,,76.15,10.36%,PAVA,Residential
100,Chhokhorling Below  Lhakhang Area, -   ,64.0,,70.63,10.36%,PAVA,Residential
101,"Mendigang,Dolongang (Below & Nearby Central Jail & Vti Area)", -   ,78.0,,86.08,10.36%,PAVA,Residential
102,JIgmeling  (Ab0ve Highway Industrail area),80,,94.29,,17.86%,FIAB,Commercial 
103,Jigmeling(Below Highway from BPC Colony to DOR colony), -   ,77.0,,84.98,10.36%,PAVA,Residential
104,Gawaithang,,17.0,,18.76,10.36%,PAVA,Residential
105,Tsirang-Damphu Town area,525,158.0,343.57,,-34.56%,FIAB,Commercial 
106,BOD to high school vicinity and Dratshang area along the road,525,65.0,166.0,,-68.38%,FIAB,Commercial 
107,Changchey Town area,65,15.0,71.73,,10.36%,PAVA,Commercial 
108,Mithun,65,30.0,71.73,,10.36%,PAVA,Commercial 
109,Dekiling & Menchuna,65,30.0,61.33,,-5.65%,FIAB,Commercial 
110,"Tsholingkhar, Dupchugang (along the Road)",,,,,,No Data,
111,Darjay (Along the road and BPC sub-station area),65,,60.6,,-6.77%,FIAB,Commercial 
112,Mendaygang developed areas,35,,43.6,,24.57%,FIAB,Commercial 
113,Dungkhar Chholing,55,,78.12,,42.03%,PAVA,Commercial 
