,LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
117,Samdrup Jongkhar Town Area( Commercial),600,250.0,735.71,411.43,22.62%,FIAB (Commercial),commercial and residential
118,Deothang,100,80.0,214.29,150.83,114.29%,FIAB (Commercial),commercial and residential
119,Samdrupcholing (Bangtar),80,20.0,97.0,63.33,21.25%,FIAB (Commercial),commercial and residential
120,Jomotsekha ,50,,50.0,,0.00%,FIAB,Commercial
121,Samrang,70,25.0,30.0,,-57.14%,FIAB,Commercial
122,Pemathang,70,25.0,77.25,,10.36%,PAVA,Commercial
123,Martshala,30,15.0,33.11,,10.36%,PAVA,Commercial
124,Phuntsohthang,70,25.0,77.25,,10.36%,PAVA,Commercial
125,Pema Gatshel Town( Existing),116,58.0,178.33,,54.40%,FIAB,Commercial
126,New Town plan ( Denchi),70,50.0,110.0,56.66,57.14%,FIAB,Residential
127,Yallang,50,20.0,50.0,,0.00%,FIAB,Commercial
128,Khar (KCPS School area),50,20.0,50.0,,0.00%,FIAB,Commercial
129,Nganglam (core areas),178,85.0,595.27,,233.80%,PAVA,Commercial
130,Mongar Town Area,462,231.0,450.0,216.0,-2.60%,FIAB,Residential
131,Trailling,300,250.0,216.0,,-28.00%,FIAB,Commercial
132,Changshingpeg,250,150.0,216.0,,-13.60%,FIAB,Commercial
133,Gyelposhing,347,200.0,262.83,171.17,-24.15%,FIAB,Residential
134,Lingmethang,100,50.0,115.0,68.33,15.00%,FIAB,Residential
135,Kilikhar,100,60.0,70.83,62.83,-29.17%,FIAB,Residential
136,Yadi (Developed and commerial area),100,50.0,72.67,,-27.33%,FIAB,Commercial
137,Drametse (Developed and commerial area),58,35.0,58.0,46.0,0.43%,FIAB,Commericial 
138,Chaskhar,20,,22.07,,10.36%,PAVA,Commericial 
