,LOCATION,PRECINCT,SPECIFIC AREA,BOB_2017_RATE,BOB_2021_RATE,%DIFFERENCE,DERIVE_FROM
0,Vicinity of Norzin Lam from Lungtenzampa bridge to Chubachu bridge.                                          ,"Urban Core, Sub-Precinct i","On right and Left side of Norzin Lam from City gateway till Main Traffic, specific area Jomolhari hotel bldg, clock tower area, yarkey building, ","4,909","8,000.00",63%,FIAB
1,Vicinity of Norzin Lam from Lungtenzampa bridge to Chubachu bridge.                                          ,"Urban Core, Sub-Precinct i","On right and Left side of Norzin Lam from Main Traffic to BOBL TCO junction; specific area Lugar Threatre area , norling building area,","4,909","8,000.00",63%,FIAB
2,Vicinity of Norzin Lam from Lungtenzampa bridge to Chubachu bridge.                                          ,"Urban Core, Sub-Precinct i",On right and Left side of Norzin Lam from L/zampa bridge till Thimphu City Gateway,"4,675","6,851.68",46.56%,PAVA
3,Vicinity of Changlam from Lungtenzampa Bridge till Rapa colony,"Urban Core, Sub-Precinct i",All areas between Norzin Lam and Changlam and below changlam,"3,465","5,078.30",46.56%,PAVA
4,Vicinity of Changlam from Lungtenzampa Bridge till Rapa colony,"Urban Core, Sub-Precinct ii",Vegetable market and on junction of Yarden lam,"3,360","4,924.42",46.56%,PAVA
5,Vicinity of Changlam from Lungtenzampa Bridge till Rapa colony,"Urban Core, Sub-Precinct iii","Along Dungkhor Lam, behind Changlam Square and near JNPS","2,612","3,828.22",46.56%,PAVA
6,Vicinity of Changlam from Lungtenzampa Bridge till Rapa colony,Institutional Precincts,Jigme Namgyal School,426,751.02,76.32%,PAVA
7,Vicinity of Changlam from Lungtenzampa Bridge till Rapa colony,Heritage Precincts,Zangdopelri ,365,643.73,76.32%,PAVA
8,Vicinity of Changlam from Lungtenzampa Bridge till Rapa colony,"Green space: G2 & G1-Precincts-city gate way, changlimithang, along west side bank of wangchu river","City Gate way, BOD, Changlimthang, along east and west side bank of wangchhu river (Green space: G2 & G1-Precincts-city gate way, changlimithang, along west side bank of wangchu river)",365,643.73,76.32%,PAVA
9,Vicinity of Changlam from Lungtenzampa Bridge till Rapa colony,"Environment conservation, E1 Precincts-along east side bank of wangchu river","City Gate way, BOD, Changlimthang, along east and west side bank of wangchhu river (Environment conservation, E1 Precincts-along east side bank of wangchu river)",196,345.71,76.32%,PAVA
10,Vinity of Chorten Lam till Chubachu traffic post                                                                                                        ,Edowment for future Precincts,Imtrat area,"2,000","3,526.40",76.32%,PAVA
