,LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
0,Wangdue Phodrang (Bajothang),150,75.0,357.14,183.33,138.09%,FIAB,Commercial 
1,Vicinity of Dzong area,137,75.0,272.2,,98.25%,PAVA,Commercial 
2,Basochu,58,25.0,177.5,,207.36%,FIAB,Commercial 
3,Chuzomsa Area,46,15.0,70.25,,52.06%,FIAB,Commercial 
4,Hesuthangkha area,58,20.0,99.6,,72.47%,FIAB,Commercial 
5,Kamichu area,58,20.0,177.5,,207.36%,FIAB,Commercial 
6,Phubjikha area,35,15.0,32.0,,-7.65%,FIAB,Commercial 
7,Samthang (VTI) area,105,50.0,260.97,,148.54%,PAVA,Commercial 
8,Bajo to Khuruthang (Along the road),105,50.0,151.66,,44.44%,FIAB,Commercial 
9,Wangdue to Nobding (Along highway),35,15.0,39.45,,13.86%,PAVA,Commercial 
10,Wangdue to Tsirang (Along Highway),35,15.0,60.0,,73.16%,FIAB,Commercial 
11,Wangdue bridge to Mesina/Lobesa (Along Highway),105,50.0,115.88,,10.36%,PAVA,Commercial 
